Flag for Follow Up,,Survey Title,Survey ID,Page,Page Heading,Question ID,varnames,Question Heading,Answer ID,Answer,answervalues
,464,OT Dealiasing SC2 UT 1 pt 1,66588134,1,,822642422,TSK.CP2.OT1.PRB.001.,Task (1): Find the Twitter User ID of an Instagram User.<br><br>Question: What is the Twitter ID that corresponds to User #1's Instagram ID?<br><br>(Please give the exact text string for the Twitter ID).,1,open_ended,#NULL
,465,OT Dealiasing SC2 UT 1 pt 1,66588134,1,,822642423,TSK.CP2.OT1.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161881202,Certainly Wrong (0%),0
,466,OT Dealiasing SC2 UT 1 pt 1,66588134,1,,822642423,TSK.CP2.OT1.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161881203,-0.1,10
,467,OT Dealiasing SC2 UT 1 pt 1,66588134,1,,822642423,TSK.CP2.OT1.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161881204,-0.2,20
,468,OT Dealiasing SC2 UT 1 pt 1,66588134,1,,822642423,TSK.CP2.OT1.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161881205,-0.3,30
,469,OT Dealiasing SC2 UT 1 pt 1,66588134,1,,822642423,TSK.CP2.OT1.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161881206,-0.4,40
,470,OT Dealiasing SC2 UT 1 pt 1,66588134,1,,822642423,TSK.CP2.OT1.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161881207,Completely Uncertain (50%),50
,471,OT Dealiasing SC2 UT 1 pt 1,66588134,1,,822642423,TSK.CP2.OT1.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161881208,-0.6,60
,472,OT Dealiasing SC2 UT 1 pt 1,66588134,1,,822642423,TSK.CP2.OT1.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161881209,-0.7,70
,473,OT Dealiasing SC2 UT 1 pt 1,66588134,1,,822642423,TSK.CP2.OT1.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161881210,-0.8,80
,474,OT Dealiasing SC2 UT 1 pt 1,66588134,1,,822642423,TSK.CP2.OT1.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161881211,-0.9,90
,475,OT Dealiasing SC2 UT 1 pt 1,66588134,1,,822642423,TSK.CP2.OT1.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161881212,Certainly Correct (100%),100
,476,OT Dealiasing SC2 UT 1 pt 1,66588134,1,,822642423,TSK.CP2.OT1.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161881213,,#NULL
,96,OT Dealiasing SC2 UT 1 pt 2,66588166,1,,822642821,TSK.CP2.OT1.PRB.002.,Task (2): Find the Instagram User ID of a Twitter User.<br><br>Question: What is the Instagram ID that corresponds to User #2's Twitter ID?<br><br>(Please give the exact text string for the Instagram ID).,1,open_ended,#NULL
,94,OT Dealiasing SC2 UT 1 pt 2,66588166,1,,822642822,TSK.CP2.OT1.CON.002.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161883733,Certainly Wrong (0%),0
,93,OT Dealiasing SC2 UT 1 pt 2,66588166,1,,822642822,TSK.CP2.OT1.CON.002.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161883734,-0.1,10
,92,OT Dealiasing SC2 UT 1 pt 2,66588166,1,,822642822,TSK.CP2.OT1.CON.002.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161883735,-0.2,20
,91,OT Dealiasing SC2 UT 1 pt 2,66588166,1,,822642822,TSK.CP2.OT1.CON.002.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161883736,-0.3,30
,90,OT Dealiasing SC2 UT 1 pt 2,66588166,1,,822642822,TSK.CP2.OT1.CON.002.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161883737,-0.4,40
,89,OT Dealiasing SC2 UT 1 pt 2,66588166,1,,822642822,TSK.CP2.OT1.CON.002.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161883738,Completely Uncertain (50%),50
,140,OT Dealiasing SC2 UT 1 pt 2,66588166,1,,822642822,TSK.CP2.OT1.CON.002.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161883739,-0.6,60
,283,OT Dealiasing SC2 UT 1 pt 2,66588166,1,,822642822,TSK.CP2.OT1.CON.002.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161883740,-0.7,70
,424,OT Dealiasing SC2 UT 1 pt 2,66588166,1,,822642822,TSK.CP2.OT1.CON.002.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161883741,-0.8,80
,284,OT Dealiasing SC2 UT 1 pt 2,66588166,1,,822642822,TSK.CP2.OT1.CON.002.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161883742,-0.9,90
,462,OT Dealiasing SC2 UT 1 pt 2,66588166,1,,822642822,TSK.CP2.OT1.CON.002.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161883743,Certainly Correct (100%),100
,463,OT Dealiasing SC2 UT 1 pt 2,66588166,1,,822642822,TSK.CP2.OT1.CON.002.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161883744,,#NULL
,83,OT Dealiasing SC2 UT 1 pt 3,66588354,1,,822645299,TSK.CP2.OT1.PRB.003.,Task (3): Find the Twitter User ID of an Instagram User.<br><br>Question: What is the Twitter ID that corresponds to User #3's Instagram ID?<br><br>(Please give the exact text string for the Twitter ID).,1,open_ended,#NULL
,84,OT Dealiasing SC2 UT 1 pt 3,66588354,1,,822645300,TSK.CP2.OT1.CON.003.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161902856,Certainly Wrong (0%),0
,85,OT Dealiasing SC2 UT 1 pt 3,66588354,1,,822645300,TSK.CP2.OT1.CON.003.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161902857,-0.1,10
,86,OT Dealiasing SC2 UT 1 pt 3,66588354,1,,822645300,TSK.CP2.OT1.CON.003.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161902858,-0.2,20
,87,OT Dealiasing SC2 UT 1 pt 3,66588354,1,,822645300,TSK.CP2.OT1.CON.003.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161902859,-0.3,30
,88,OT Dealiasing SC2 UT 1 pt 3,66588354,1,,822645300,TSK.CP2.OT1.CON.003.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161902860,-0.4,40
,102,OT Dealiasing SC2 UT 1 pt 3,66588354,1,,822645300,TSK.CP2.OT1.CON.003.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161902861,Completely Uncertain (50%),50
,101,OT Dealiasing SC2 UT 1 pt 3,66588354,1,,822645300,TSK.CP2.OT1.CON.003.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161902862,-0.6,60
,100,OT Dealiasing SC2 UT 1 pt 3,66588354,1,,822645300,TSK.CP2.OT1.CON.003.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161902863,-0.7,70
,99,OT Dealiasing SC2 UT 1 pt 3,66588354,1,,822645300,TSK.CP2.OT1.CON.003.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161902864,-0.8,80
,98,OT Dealiasing SC2 UT 1 pt 3,66588354,1,,822645300,TSK.CP2.OT1.CON.003.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161902865,-0.9,90
,97,OT Dealiasing SC2 UT 1 pt 3,66588354,1,,822645300,TSK.CP2.OT1.CON.003.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161902866,Certainly Correct (100%),100
,103,OT Dealiasing SC2 UT 1 pt 3,66588354,1,,822645300,TSK.CP2.OT1.CON.003.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161902867,,#NULL
,104,OT Dealiasing SC2 UT 1 pt 4,66588428,1,,822646169,TSK.CP2.OT1.PRB.004.,Task (4): Find the Instagram User ID of a Twitter User.<br><br>Question: What is the Instagram ID that corresponds to User #4's Twitter ID?<br><br>(Please give the exact text string for the Instagram ID).,1,open_ended,#NULL
,95,OT Dealiasing SC2 UT 1 pt 4,66588428,1,,822646170,TSK.CP2.OT1.CON.004.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161909108,Certainly Wrong (0%),0
,72,OT Dealiasing SC2 UT 1 pt 4,66588428,1,,822646170,TSK.CP2.OT1.CON.004.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161909109,-0.1,10
,73,OT Dealiasing SC2 UT 1 pt 4,66588428,1,,822646170,TSK.CP2.OT1.CON.004.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161909110,-0.2,20
,74,OT Dealiasing SC2 UT 1 pt 4,66588428,1,,822646170,TSK.CP2.OT1.CON.004.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161909111,-0.3,30
,75,OT Dealiasing SC2 UT 1 pt 4,66588428,1,,822646170,TSK.CP2.OT1.CON.004.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161909112,-0.4,40
,76,OT Dealiasing SC2 UT 1 pt 4,66588428,1,,822646170,TSK.CP2.OT1.CON.004.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161909113,Completely Uncertain (50%),50
,77,OT Dealiasing SC2 UT 1 pt 4,66588428,1,,822646170,TSK.CP2.OT1.CON.004.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161909114,-0.6,60
,78,OT Dealiasing SC2 UT 1 pt 4,66588428,1,,822646170,TSK.CP2.OT1.CON.004.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161909115,-0.7,70
,79,OT Dealiasing SC2 UT 1 pt 4,66588428,1,,822646170,TSK.CP2.OT1.CON.004.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161909116,-0.8,80
,80,OT Dealiasing SC2 UT 1 pt 4,66588428,1,,822646170,TSK.CP2.OT1.CON.004.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161909117,-0.9,90
,81,OT Dealiasing SC2 UT 1 pt 4,66588428,1,,822646170,TSK.CP2.OT1.CON.004.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161909118,Certainly Correct (100%),100
,82,OT Dealiasing SC2 UT 1 pt 4,66588428,1,,822646170,TSK.CP2.OT1.CON.004.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161909119,,#NULL
,135,OT Dealiasing SC2 UT 1 pt 5,66588462,1,,822646438,TSK.CP2.OT1.PRB.005.,Task (5): Find the Twitter User ID of an Instagram User.<br><br>Question: What is the Twitter ID that corresponds to User #5's Instagram ID?<br><br>(Please give the exact text string for the Twitter ID).<br>,1,open_ended,#NULL
,134,OT Dealiasing SC2 UT 1 pt 5,66588462,1,,822646439,TSK.CP2.OT1.CON.005.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161911620,Certainly Wrong (0%),0
,133,OT Dealiasing SC2 UT 1 pt 5,66588462,1,,822646439,TSK.CP2.OT1.CON.005.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161911621,-0.1,10
,139,OT Dealiasing SC2 UT 1 pt 5,66588462,1,,822646439,TSK.CP2.OT1.CON.005.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161911622,-0.2,20
,132,OT Dealiasing SC2 UT 1 pt 5,66588462,1,,822646439,TSK.CP2.OT1.CON.005.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161911623,-0.3,30
,130,OT Dealiasing SC2 UT 1 pt 5,66588462,1,,822646439,TSK.CP2.OT1.CON.005.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161911624,-0.4,40
,129,OT Dealiasing SC2 UT 1 pt 5,66588462,1,,822646439,TSK.CP2.OT1.CON.005.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161911625,Completely Uncertain (50%),50
,128,OT Dealiasing SC2 UT 1 pt 5,66588462,1,,822646439,TSK.CP2.OT1.CON.005.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161911626,-0.6,60
,127,OT Dealiasing SC2 UT 1 pt 5,66588462,1,,822646439,TSK.CP2.OT1.CON.005.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161911627,-0.7,70
,126,OT Dealiasing SC2 UT 1 pt 5,66588462,1,,822646439,TSK.CP2.OT1.CON.005.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161911628,-0.8,80
,125,OT Dealiasing SC2 UT 1 pt 5,66588462,1,,822646439,TSK.CP2.OT1.CON.005.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161911629,-0.9,90
,106,OT Dealiasing SC2 UT 1 pt 5,66588462,1,,822646439,TSK.CP2.OT1.CON.005.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161911630,Certainly Correct (100%),100
,105,OT Dealiasing SC2 UT 1 pt 5,66588462,1,,822646439,TSK.CP2.OT1.CON.005.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9161911631,,#NULL
,112,OT Dealiasing SC2 UT 2 pt 1,66596643,1,,822749230,TSK.CP2.OT2.PRB.001.,Task (1): Find the Instagram User ID of a Twitter User.<br><br>Question: What is the Instagram ID that corresponds to User #1's Twitter ID?<br><br>(Please give the exact text string for the Instagram ID).<br>,1,open_ended,#NULL
,111,OT Dealiasing SC2 UT 2 pt 1,66596643,1,,822749231,TSK.CP2.OT2.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9162784365,Certainly Wrong (0%),0
,110,OT Dealiasing SC2 UT 2 pt 1,66596643,1,,822749231,TSK.CP2.OT2.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9162784366,-0.1,10
,109,OT Dealiasing SC2 UT 2 pt 1,66596643,1,,822749231,TSK.CP2.OT2.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9162784367,-0.2,20
,108,OT Dealiasing SC2 UT 2 pt 1,66596643,1,,822749231,TSK.CP2.OT2.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9162784368,-0.3,30
,107,OT Dealiasing SC2 UT 2 pt 1,66596643,1,,822749231,TSK.CP2.OT2.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9162784369,-0.4,40
,113,OT Dealiasing SC2 UT 2 pt 1,66596643,1,,822749231,TSK.CP2.OT2.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9162784370,Completely Uncertain (50%),50
,123,OT Dealiasing SC2 UT 2 pt 1,66596643,1,,822749231,TSK.CP2.OT2.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9162784371,-0.6,60
,131,OT Dealiasing SC2 UT 2 pt 1,66596643,1,,822749231,TSK.CP2.OT2.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9162784372,-0.7,70
,124,OT Dealiasing SC2 UT 2 pt 1,66596643,1,,822749231,TSK.CP2.OT2.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9162784373,-0.8,80
,138,OT Dealiasing SC2 UT 2 pt 1,66596643,1,,822749231,TSK.CP2.OT2.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9162784374,-0.9,90
,137,OT Dealiasing SC2 UT 2 pt 1,66596643,1,,822749231,TSK.CP2.OT2.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9162784375,Certainly Correct (100%),100
,136,OT Dealiasing SC2 UT 2 pt 1,66596643,1,,822749231,TSK.CP2.OT2.CON.001.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9162784376,,#NULL
,18,OT Dealiasing SC2 UT 2 pt 2,66596716,1,,822750073,TSK.CP2.OT2.PRB.002.,Task (2): Find the Twitter User ID of an Instagram User.<br><br>Question: What is the Twitter ID that corresponds to User #2's Instagram ID?<br><br>(Please give the exact text string for the Twitter ID).,1,open_ended,#NULL
,51,OT Dealiasing SC2 UT 2 pt 2,66596716,1,,822750074,TSK.CP2.OT2.CON.002.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9162792589,Certainly Wrong (0%),0
,70,OT Dealiasing SC2 UT 2 pt 2,66596716,1,,822750074,TSK.CP2.OT2.CON.002.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9162792590,-0.1,10
,122,OT Dealiasing SC2 UT 2 pt 2,66596716,1,,822750074,TSK.CP2.OT2.CON.002.,Please use the scale below to indicate indicate your level of confidence in your answer for this question.,9162792591,-0.2,20
